,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
1564,nehnutelnosti.sk_4219126,Bratislava III - Raca,okres Bratislava,1 izbovy byt,Pôvodný stav,Novohorska,,,41,48.2091469,17.1460982,100000,,2,3,Ano,,,Ustredne,
1565,nehnutelnosti.sk_4219614,Bratislava IV - Lamac,okres Bratislava,1 izbovy byt,Kompletná rekonštrukcia,Bakosova,Ano,,43,48.1986638,17.0473273,123000,,,,,,,Ustredne,
1566,nehnutelnosti.sk_4199445,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Novostavba,Rusovska cesta,Ano,,84,48.0565395,17.1454448,219000,2007,4,5,,Ano,,,
1567,nehnutelnosti.sk_4181221,Bratislava II - Vrakuna,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Rajecka,Ano,,53,48.1435966,17.2056513,124000,,2,7,Ano,,,,
1568,nehnutelnosti.sk_4222665,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Kamenne namestie,Ano,,92,48.1445769,17.1134981,,,2,9,,,,Lokalne,
1569,nehnutelnosti.sk_4146525,Bratislava III - Nove Mesto,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Ceskoslovenskych parasutistov,Ano,,64,48.1719127,17.1297544,175000,,1,6,Ano,,,Ustredne,
1570,nehnutelnosti.sk_4154719,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Trnavska cesta,Ano,A,76,48.1636837,17.1467219,232000,,3,8,,Ano,,,
1571,nehnutelnosti.sk_4209622,Bratislava II - Podunajske Biskupice,okres Bratislava,3 izbovy byt,Novostavba,Kazanska,Ano,,70,48.1345078,17.205864,165000,2014,2,7,Ano,,,,
1572,nehnutelnosti.sk_4116487,Bratislava III - Nove Mesto,okres Bratislava,4 izbovy byt,Čiastočná rekonštrukcia,Osadna,,,125,48.1628108,17.1307561,299900,,2,2,,,,"Lokalne, Krb",
1573,nehnutelnosti.sk_3962326,Bratislava I - Stare Mesto,okres Bratislava,5 a viac izbovy byt,Čiastočná rekonštrukcia,Polna,,,101,48.149258,17.1224402,298000,,,5,Ano,Ano,,Ustredne,
1574,nehnutelnosti.sk_4222058,Bratislava III - Nove Mesto,okres Bratislava,3 izbovy byt,Pôvodný stav,Bartoskova,Ano,,68,48.1611416,17.1321316,205000,,,,,,,Ustredne,
